panel_id,voltage,current,panel_temp,dust_index,efficiency,temperature,humidity,cloudcover,precip,wind_speed,GHI (kWh/m²/day),DNI (kWh/m²/day),DHI (% of GHI),Snowfall (mm/year),Quarter1-Cloud cover,Quarter1-Sunshine duration,Quarter1-Ambient temperature,Quarter1-Relative humidity,Quarter1-Precipitation,Quarter2-Cloud cover,Quarter2-Sunshine duration,Quarter2-Ambient temperature,Quarter2-Relative humidity,Quarter2-Precipitation,Quarter3-Cloud cover,Quarter3-Sunshine duration,Quarter3-Ambient temperature,Quarter3-Relative humidity,Quarter3-Precipitation,Quarter4-Cloud cover,Quarter4-Sunshine duration,Quarter4-Ambient temperature,Quarter4-Relative humidity,Quarter4-Precipitation,YearlyCloud cover,Sunshine duration,Ambient temperature,Relative humidity,Precipitation,Label (Yes/No),irradiance
7,35.63772209189664,8.092627587948924,47.629720903124,0.0218318763524231,0.36637341571790144,29,21,0,0.0,4,5.614,4.114,24.46,84.2,21.86,6.46,18.4,26.35,46.23,30.74,7.48,22.16,69.48,256.62,47.96,6.86,22.64,47.74,28.78,10.17,10.02,27.84,40.54,183.62,27.68,7.7,22.76,46.03,515.25,Yes,449.448142616835
15,38.0809587899592,9.242862562858315,49.641943395680855,0.9936301419253728,0.7803748875850111,23,36,0,0.0,8,2.323,2.662,54.65,475.1,71.29,5.59,3.07,74.71,730.97,75.48,1.12,19.4,93.5,685.1,93.2,3.42,38.35,85.3,602.65,87.94,2.55,-1.32,80.5,608.98,81.98,3.17,14.88,83.5,2627.7,No,1140.8571676918993
11,38.317701273071926,8.12342918170365,37.1032741896487,0.1833838334937381,0.7458255413427943,0,74,9,0.0,16,5.289,5.165,23.82,68.9,21.12,8.68,23.58,67.97,65.74,13.58,11.28,32.93,63.59,191.62,36.39,9.38,16.39,49.79,5.11,23.0,11.59,21.08,66.99,93.8,23.52,10.23,23.5,62.08,356.27,Yes,823.053988172744
8,33.30815753582527,6.541786886181249,46.020769359980136,0.7107073618692773,0.47388956398514587,25,49,0,0.0,14,1.562,1.807,37.11,347.7,72.45,1.22,24.46,87.0,571.67,54.53,5.56,24.61,77.92,632.78,65.9,3.04,12.06,96.41,747.74,58.06,0.14,5.97,87.7,440.23,62.74,2.49,16.78,87.26,2392.42,No,718.3901810364439
7,32.551348266374106,9.63012996487441,44.08640769092836,0.1550597214124134,0.1336463619871843,20,27,20,0.0,4,5.911,5.024,21.55,26.0,16.38,6.96,16.41,29.28,249.08,45.27,10.88,28.7,25.52,108.45,22.39,7.5,25.3,46.78,133.83,24.15,10.97,30.79,35.39,342.67,27.05,9.08,25.3,34.24,834.03,Yes,161.01123693659449
19,35.23442918890894,8.370340267328846,53.38842045449905,0.5400934210977145,0.09966443615817863,21,53,50,0.0,4,3.406,2.973,37.8,197.3,95.15,5.82,12.88,73.37,458.45,83.53,1.04,34.01,97.69,736.37,50.47,5.75,32.01,72.52,530.72,85.0,5.74,3.21,73.83,552.13,78.54,4.59,20.53,79.35,2277.67,No,121.67572586223807
11,37.58490837349383,7.410746269204933,49.6382276590165,0.0806112884662175,0.060379663719869005,21,73,0,0.0,8,3.29,3.114,57.08,123.4,58.37,2.49,13.62,82.54,452.42,57.48,3.06,41.4,81.76,391.26,85.31,1.75,7.25,79.73,646.43,90.94,3.53,11.12,79.31,421.62,73.03,2.71,18.35,80.84,1911.73,No,69.70033460183936
11,35.417181195960254,6.746598281704982,41.847774046034104,0.7667784245332432,0.49108885519364653,21,53,50,0.0,4,2.205,1.78,44.87,241.3,79.16,3.35,22.11,73.7,540.07,90.6,1.89,17.19,84.81,698.52,82.78,0.6,38.26,94.96,657.62,73.3,4.55,18.94,92.1,705.04,81.46,2.6,24.12,86.39,2601.25,No,675.6173937044495
4,30.26901055342701,8.395914220958046,46.86397079264603,0.5849210947248297,0.6340696422838878,27,43,0,0.0,14,3.444,2.326,57.59,346.9,71.81,3.39,17.86,97.17,546.76,55.2,3.58,26.15,92.96,724.98,72.15,2.11,19.54,97.01,742.49,98.56,1.38,19.84,77.78,512.99,74.43,2.62,20.85,91.23,2527.22,No,721.3380140918506
8,32.59152666814747,7.882827995025624,45.8384066672462,0.086166693401415,0.7168514433438,30,35,0,0.0,18,2.087,2.233,44.93,493.3,60.87,5.92,30.72,94.78,408.62,65.02,0.35,13.58,99.44,414.48,78.12,0.04,30.63,75.92,423.59,66.85,4.63,0.33,76.9,378.17,67.72,2.74,18.81,86.76,1624.86,No,849.6870933552545
3,34.77808140921687,9.574146786032408,47.27165716576114,0.8485861892000055,0.0050481916812228095,19,34,100,0.0,4,5.039,4.06,18.35,17.7,13.94,11.74,26.99,56.43,118.26,25.73,7.42,16.94,28.95,299.07,37.1,9.28,24.5,66.12,27.28,21.22,8.1,30.65,69.63,90.25,24.5,9.14,24.77,55.28,534.86,Yes,7.410417946488882
2,34.77300318702251,7.654092719333172,39.905787653126744,0.547018614776702,0.6574516355708426,21,15,56,0.0,8,1.778,1.602,36.69,350.4,89.67,3.28,24.04,94.0,573.32,80.56,3.1,39.02,77.07,474.0,56.4,4.92,15.59,80.44,743.01,96.34,5.83,2.11,96.74,498.27,80.74,4.28,20.19,87.06,2288.6,No,707.6462281373911
12,40.917626530369425,7.1626192103175335,46.80008232619112,0.921592310013318,0.6576881890394068,30,35,0,0.0,18,4.817,5.106,21.47,49.4,34.81,9.27,29.8,55.3,200.32,37.16,11.24,23.65,40.64,286.59,33.3,6.43,32.84,21.54,280.65,40.35,11.72,16.08,49.84,160.44,36.4,9.66,25.59,41.83,928.0,Yes,998.931168960506
6,30.84203617280301,8.895796218235928,43.85924325355883,0.9166233736781126,0.187557117941698,30,35,0,0.0,9,3.102,3.455,44.89,339.4,62.27,0.35,31.07,95.46,529.5,77.45,1.84,17.51,76.27,659.96,74.6,3.28,-3.15,88.67,451.0,69.17,2.48,17.44,76.82,693.79,70.87,1.99,15.72,84.3,2334.25,No,254.80693281393138
2,36.51676772550763,8.925281892716832,46.412248820278,0.9205077894865824,0.1436785708197735,25,48,0,0.0,14,6.496,5.083,22.03,18.3,34.39,10.36,21.29,61.44,226.28,25.56,9.35,26.54,28.28,151.02,23.74,8.41,30.22,44.13,352.62,21.75,8.49,30.74,47.3,205.14,26.36,9.15,27.2,45.29,935.06,Yes,218.18996064852075
1,39.46733932498487,8.168651367610195,41.37807417438915,0.0777852002004679,0.16340178281785475,20,27,20,0.0,4,6.172,6.172,15.64,84.6,34.3,8.28,16.13,53.88,123.08,28.71,10.09,33.24,61.27,168.97,25.51,7.44,22.45,25.55,364.16,32.96,6.77,22.06,47.35,199.83,30.37,8.14,23.47,47.01,856.04,Yes,189.27345416874368
12,41.814349236268384,8.676357047674909,42.074684143017,0.1209577617545234,0.3085115517184208,14,45,7,0.0,4,5.662,5.989,24.27,23.5,25.97,6.91,34.85,66.35,202.48,43.68,9.13,27.47,24.46,283.23,15.11,10.96,30.64,55.44,13.56,22.13,7.58,22.2,24.38,351.36,26.72,8.64,28.79,42.66,850.63,Yes,347.20124766542443
12,33.78680773044812,7.962312879257762,50.86921010183351,0.987705809716198,0.4753336029275094,26,32,0,0.0,6,3.292,1.966,28.26,329.8,95.43,0.21,36.33,85.19,697.84,92.17,5.25,33.44,95.29,441.01,65.19,1.45,32.12,74.61,443.34,93.95,4.24,38.77,74.18,524.62,86.68,2.79,35.16,82.32,2106.81,No,629.7077179586854
17,36.4742883581606,8.233865101009247,39.742262208299195,0.487600821398706,0.29576138825906345,21,53,50,0.0,4,1.757,3.052,40.28,262.4,61.61,0.18,37.38,79.79,630.41,97.38,3.39,14.86,78.05,725.27,84.1,3.99,16.31,95.35,642.63,64.16,3.6,16.51,70.2,677.86,76.81,2.79,21.26,80.85,2676.17,No,336.9171145408503
10,36.70928107159594,9.164990882563924,40.11122799478976,0.2382140528291476,0.3020929645239622,30,16,0,0.0,9,2.597,2.684,46.56,192.4,56.74,5.27,26.7,71.82,735.39,84.65,0.91,43.46,80.96,744.19,55.16,0.96,27.87,70.66,382.01,89.6,1.01,40.94,82.78,702.62,71.54,2.04,34.74,76.55,2564.21,No,349.4749682376503
16,35.58644519465987,8.625318334021502,44.74209371392211,0.769664488498658,0.5901378689902416,25,48,0,0.0,14,5.724,5.022,17.06,40.3,13.04,10.17,20.05,35.57,45.41,44.59,8.96,26.44,48.47,153.93,17.7,10.47,17.54,25.19,266.3,18.35,7.84,24.5,42.47,265.72,23.42,9.36,22.13,37.92,731.36,Yes,734.2234736668554
15,34.70346439628208,7.830725561667375,41.14054812407023,0.264285221212482,0.040456522626450664,23,13,100,0.0,4,2.794,2.448,52.91,237.6,61.5,1.86,16.98,76.42,602.84,94.21,3.57,17.33,93.91,655.51,68.35,3.62,31.49,77.36,512.35,55.29,5.93,-0.71,75.06,554.94,69.84,3.74,16.27,80.69,2325.64,No,50.217789834735065
15,36.30792616850014,9.352362545926152,40.574856838686,0.7272156880186423,0.23298181321440395,25,48,0,0.0,14,3.063,3.863,27.87,143.7,92.19,0.66,-3.03,80.44,550.01,78.47,3.04,40.66,93.06,743.93,73.82,0.51,42.78,70.12,666.04,51.56,4.57,41.9,81.68,465.36,74.01,2.2,30.58,81.32,2425.34,No,350.57357824226176
19,27.403261744340945,5.635144627208487,45.525379856041475,0.8372857778497611,0.2978941999401574,23,36,0,0.0,8,5.56,5.739,18.22,81.5,32.0,11.21,30.27,63.43,7.56,19.74,6.54,23.84,64.5,175.33,43.99,7.96,21.79,64.78,159.68,41.59,7.42,33.98,48.73,284.75,34.33,8.28,27.47,60.36,627.32,Yes,439.63421195243006
12,37.04620847018789,10.052073311421935,37.47467071548147,0.7842633772952806,0.1079461019959655,19,35,100,0.0,4,1.981,1.871,35.26,112.8,87.17,1.55,1.21,90.97,691.1,50.99,1.4,42.26,81.56,726.97,63.71,1.31,5.71,72.56,711.16,98.99,5.73,37.6,95.41,622.91,75.22,2.5,21.7,85.12,2752.14,No,164.18519431813297
3,35.3785337109859,6.294040905109265,39.960188825431814,0.2740478081979354,0.24275034290934214,19,35,100,0.0,4,6.174,4.452,24.48,21.9,23.05,10.54,22.88,50.41,166.72,39.69,7.37,16.17,35.0,177.87,16.72,8.13,23.0,22.87,218.74,45.37,6.91,26.96,53.24,157.25,31.21,8.24,22.25,40.38,720.58,Yes,282.66334610148493
5,34.3325753096652,7.372907175227704,55.27047791461822,0.401618574079237,0.18997525261388712,26,45,0,0.0,13,5.248,5.755,20.67,58.8,23.24,8.77,16.56,37.87,260.94,48.13,11.78,26.11,50.33,69.65,37.81,6.42,20.69,53.42,116.37,11.99,10.99,21.21,23.16,28.05,30.29,9.49,21.14,41.2,475.01,Yes,239.60853859003169
19,41.14058658715867,7.959082464804931,47.29737529484505,0.4132510032332763,0.16016066961240275,19,35,100,0.0,4,5.92,4.52,18.84,54.4,34.52,8.81,31.2,58.38,189.43,44.18,10.51,30.57,67.82,99.93,20.71,11.33,30.44,66.33,23.67,35.11,6.87,25.08,27.79,48.03,33.63,9.38,29.32,55.08,361.06,Yes,185.1243978289002
7,32.975197943628345,7.853519329271839,41.267183238650446,0.4912729181044718,0.6061491869450554,27,25,0,0.0,10,5.371,4.232,18.77,31.7,31.44,9.97,29.07,26.84,304.86,37.14,11.33,23.99,64.69,324.67,27.54,8.29,33.66,55.76,348.09,41.88,9.66,17.32,34.57,363.32,34.5,9.81,26.01,45.46,1340.94,Yes,710.897482634451
9,33.79077203280491,9.006411040026554,47.09107539133099,0.167372851540136,0.04369437249644588,26,32,0,0.0,6,3.902,2.038,31.91,455.6,98.39,4.19,1.05,84.58,681.23,78.62,0.8,3.59,95.92,572.64,85.29,2.24,21.62,99.31,498.64,83.74,1.04,1.09,93.51,691.54,86.51,2.07,6.84,93.33,2444.05,No,55.74049526399727
7,40.9746599066142,6.942163381389766,47.836652384933146,0.4524700504143424,0.5900348867617832,30,35,0,0.0,9,5.331,5.921,22.58,61.8,41.48,8.01,32.62,50.75,308.39,31.85,7.31,25.85,38.56,261.56,29.03,11.02,28.56,54.23,81.43,49.37,11.05,30.78,36.51,200.86,37.93,9.35,29.45,45.01,852.24,Yes,729.0538222817261
18,32.50381608545043,8.260766817483063,49.97207210045119,0.5107829905154797,0.1696697848315994,21,73,0,0.0,8,4.114,6.363,16.44,90.3,13.34,10.94,18.04,21.91,269.81,21.21,10.29,26.1,25.44,349.55,28.09,10.41,25.02,50.22,113.54,18.01,9.26,23.8,39.51,252.21,20.16,10.22,23.24,34.27,985.11,Yes,204.62894842474984
4,33.349654151190386,7.421787901780246,44.364219852716346,0.5317089965810524,0.07023455396746872,27,25,0,0.0,10,4.84,4.736,23.73,79.7,30.6,6.78,19.3,52.81,144.39,43.46,11.7,31.11,38.88,295.76,24.06,7.0,15.67,39.29,338.83,19.56,7.24,34.4,21.25,294.67,29.42,8.18,25.12,38.06,1073.65,Yes,78.06191158233543
14,34.55892372970745,8.295140979337416,49.882488513864445,0.8199004299844582,0.7306904953316895,26,32,0,0.0,8,4.741,4.343,19.67,15.6,28.51,7.33,29.77,21.38,208.03,16.78,6.01,32.38,53.58,37.1,36.56,9.67,24.47,40.96,332.65,19.81,8.39,21.58,58.56,343.67,25.42,7.85,27.05,43.62,921.45,Yes,1138.6626447039998
18,37.52220344638864,7.935227740202124,34.80776737558914,0.5173344984794952,0.8718689826479273,20,27,20,0.0,4,3.434,1.878,29.63,456.3,94.89,2.8,38.51,90.02,444.38,66.45,0.82,33.7,99.56,579.89,82.79,4.48,6.21,80.08,529.62,79.73,5.1,7.71,84.13,656.83,80.96,3.3,21.53,88.45,2210.72,No,996.5322581329453
9,35.62340752205994,8.092935652682979,39.718459347621234,0.2307839225136752,0.9088606535277649,23,28,0,0.0,7,2.682,2.608,42.44,273.7,77.07,5.33,26.64,91.68,599.06,82.15,3.47,-3.66,99.99,387.6,69.76,0.63,-0.15,93.81,534.72,90.06,1.64,7.82,77.54,606.05,79.76,2.77,7.66,90.76,2127.43,No,970.0768177397533
2,31.122123958543213,7.450075167535655,45.81935700868228,0.6631287382441872,0.29427271037274777,22,21,11,0.0,5,5.297,5.681,15.44,22.1,28.23,7.99,29.25,45.56,60.13,45.78,7.76,29.62,59.0,361.18,29.94,9.7,21.7,53.91,173.77,27.51,11.13,16.0,64.1,319.53,32.86,9.14,24.14,55.64,914.61,Yes,337.3902107364254
15,33.403494310618434,7.489936049903918,46.64816766403896,0.7973141440866252,0.07200953604296839,17,83,0,0.0,4,1.879,1.656,51.59,286.9,79.95,2.55,-1.64,92.19,682.63,52.07,2.25,22.87,88.16,591.81,84.65,5.8,14.53,86.7,637.15,79.62,2.32,26.2,89.5,594.36,74.07,3.23,15.49,89.14,2505.95,No,117.20653680766064
7,33.17793670036337,8.287272514027427,40.44108856165679,0.3193716664382617,0.6074805625166614,26,65,25,0.0,19,4.411,4.291,20.47,90.2,23.76,10.4,28.17,66.58,307.87,32.66,9.94,32.97,39.98,122.55,10.43,10.96,31.02,25.22,216.32,28.56,6.71,34.61,30.73,25.21,23.85,9.5,31.69,40.63,671.95,Yes,677.3906962470353
12,34.76833686433086,8.943715505756044,46.2970999563158,0.6453059290176052,0.4710236071182282,25,48,0,0.0,14,2.565,1.654,41.15,155.0,82.37,0.28,13.7,72.49,376.26,98.03,5.98,22.78,77.17,716.66,96.15,5.13,22.22,72.24,408.16,94.83,5.25,16.72,79.84,616.55,92.84,4.16,18.86,75.44,2117.63,No,528.1829924875216
8,36.27753097588949,7.401720665802152,41.8807987565637,0.1469379959460126,0.13299014761954192,23,47,0,0.0,7,6.414,4.037,19.81,33.3,27.96,9.42,23.71,40.74,274.77,37.44,11.0,20.0,50.48,219.45,24.79,8.92,21.28,27.09,80.18,14.22,10.1,28.21,67.53,273.63,26.1,9.86,23.3,46.46,848.03,Yes,146.4458818137346
15,36.25461726766392,7.1312324554270905,43.61520452886417,0.341926304578064,0.46781170879082784,23,41,0,0.0,6,5.731,4.583,21.25,74.7,18.75,6.36,17.62,50.3,318.54,11.8,10.4,21.83,43.93,348.32,23.28,8.79,15.27,24.08,96.97,11.11,9.79,23.53,47.41,65.49,16.24,8.84,19.56,41.43,829.32,Yes,594.2122921335242
3,29.671964737854793,8.613460165671837,50.123869003325055,0.9092239295496342,0.032279258382992226,27,43,0,0.0,14,6.234,5.085,20.73,96.8,49.3,8.7,31.95,35.1,139.43,16.59,7.26,28.14,45.54,86.67,26.12,8.24,34.75,62.68,145.49,46.56,8.06,28.36,68.33,146.35,34.64,8.06,30.8,52.91,517.94,Yes,41.266225338262075
14,38.191822962682565,7.967496106942311,49.54468748444299,0.9113081631625708,0.7303062516563525,30,35,0,0.0,18,2.694,1.656,47.06,131.5,58.77,1.55,32.44,74.92,692.49,56.6,0.21,14.75,99.38,416.38,55.09,4.51,10.61,91.52,450.0,73.0,1.59,17.58,93.07,660.75,60.86,1.96,18.84,89.72,2219.62,No,1091.1844824945385
17,35.75770653798987,8.830498133985952,40.01469836318369,0.5753245787430636,0.2585369477349363,25,48,0,0.0,14,4.13,5.966,17.01,25.9,16.59,7.98,30.14,45.97,76.83,45.11,11.28,32.41,31.94,169.21,49.4,10.63,15.54,23.26,173.97,46.37,9.23,24.96,25.27,246.29,39.37,9.78,25.76,31.61,666.3,Yes,310.5359779200203
